* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 4, 2023 8:51:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
370.000000	87.332	-29.1158
375.000000	87.341	-29.2357
382.000000	87.351	-29.6307
387.000000	87.345	-30.0391
395.000000	87.302	-30.7712
400.000000	87.257	-31.2109
406.000000	87.191	-31.6826
412.000000	87.118	-32.0861
418.000000	87.042	-32.4274
425.000000	86.952	-32.7621
431.000000	86.876	-33.0073
437.000000	86.802	-33.2231
444.000000	86.717	-33.4454
450.000000	86.647	-33.6163
455.000000	86.589	-33.7480
462.000000	86.511	-33.9204
468.000000	86.445	-34.0591
475.000000	86.369	-34.2126
482.000000	86.294	-34.3583
487.000000	86.241	-34.4573
494.000000	86.166	-34.5870
500.000000	86.102	-34.6890
508.000000	86.018	-34.8112
515.000000	85.944	-34.9056
522.000000	85.871	-34.9885
530.000000	85.790	-35.0692
538.000000	85.709	-35.1357
545.000000	85.639	-35.1829
552.000000	85.570	-35.2201
560.000000	85.492	-35.2505
570.000000	85.397	-35.2720
580.000000	85.303	-35.2761
590.000000	85.211	-35.2629
600.000000	85.121	-35.2324
608.000000	85.050	-35.1954
615.000000	84.989	-35.1547
622.000000	84.929	-35.1067
630.000000	84.861	-35.0435
640.000000	84.779	-34.9518
650.000000	84.698	-34.8459
660.000000	84.619	-34.7250
670.000000	84.542	-34.5891
680.000000	84.468	-34.4397
690.000000	84.395	-34.2775
700.000000	84.325	-34.1031
710.000000	84.257	-33.9171
720.000000	84.190	-33.7190
730.000000	84.127	-33.5089
740.000000	84.065	-33.2871
750.000000	84.006	-33.0546
762.000000	83.938	-32.7628
775.000000	83.870	-32.4325
788.000000	83.805	-32.0876
800.000000	83.749	-31.7571
812.000000	83.698	-31.4168
825.000000	83.646	-31.0397
838.000000	83.600	-30.6556
850.000000	83.561	-30.2963
862.000000	83.526	-29.9336
875.000000	83.493	-29.5381
885.000000	83.471	-29.2332
900.000000	83.442	-28.7771
912.000000	83.424	-28.4152
925.000000	83.408	-28.0279
938.000000	83.396	-27.6471
950.000000	83.389	-27.3027
962.000000	83.385	-26.9663
975.000000	83.384	-26.6124
988.000000	83.387	-26.2706
1000.000000	83.392	-25.9668
1015.000000	83.402	-25.6033
1030.000000	83.415	-25.2584
1044.000000	83.430	-24.9536
1060.000000	83.449	-24.6253
1075.000000	83.470	-24.3361
1090.000000	83.492	-24.0640
1106.000000	83.517	-23.7914
1120.000000	83.540	-23.5668
1138.000000	83.571	-23.2949
1150.000000	83.592	-23.1229
1172.000000	83.631	-22.8229
1180.000000	83.645	-22.7179
1206.000000	83.691	-22.3837
1220.000000	83.715	-22.2026
1241.000000	83.750	-21.9166
1250.000000	83.766	-21.7845
1265.000000	83.792	-21.5449
1280.000000	83.821	-21.2748
1315.000000	83.917	-20.5428
1320.000000	83.936	-20.4366
1340.000000	84.021	-20.0542
1360.000000	84.120	-19.7858
1380.000000	84.219	-19.6405
1400.000000	84.311	-19.5766
1430.000000	84.437	-19.5331
1450.000000	84.518	-19.5093
1475.000000	84.618	-19.4866
1500.000000	84.720	-19.4866
1525.000000	84.821	-19.5179
1550.000000	84.918	-19.5659
1575.000000	85.009	-19.5896
1600.000000	85.101	-19.5414
1625.000000	85.204	-19.4072
1650.000000	85.329	-19.2337
1675.000000	85.480	-19.1085
1700.000000	85.651	-19.1082
1725.000000	85.833	-19.2671
1750.000000	86.019	-19.5883
1775.000000	86.203	-20.0640
1800.000000	86.382	-20.6846
1825.000000	86.552	-21.4390
1850.000000	86.711	-22.3135
1875.000000	86.856	-23.2930
1900.000000	86.986	-24.3616
1925.000000	87.101	-25.5043
1950.000000	87.197	-26.7063
1975.000000	87.276	-27.9517
2000.000000	87.336	-29.2234
2030.000000	87.383	-30.7592
2060.000000	87.403	-32.2758
2090.000000	87.397	-33.7400
2120.000000	87.367	-35.1157
2140.000000	87.335	-35.9650
2180.000000	87.250	-37.4530
2200.000000	87.203	-38.0786
2240.000000	87.116	-39.1121
2270.000000	87.070	-39.7759
2300.000000	87.040	-40.4604
2330.000000	87.017	-41.2504
2360.000000	86.984	-42.1556
2400.000000	86.905	-43.4285
2430.000000	86.820	-44.3316
2470.000000	86.682	-45.3976
2500.000000	86.568	-46.1018
2540.000000	86.400	-46.9398
2580.000000	86.212	-47.6437
2620.000000	86.002	-48.1436
2650.000000	85.836	-48.3447
2690.000000	85.617	-48.3745
2720.000000	85.462	-48.2559
2760.000000	85.275	-48.0100
2800.000000	85.101	-47.7622
2850.000000	84.874	-47.4578
2900.000000	84.616	-46.9825
2950.000000	84.336	-46.1361
3000.000000	84.062	-44.8445
3040.000000	83.861	-43.5117
3070.000000	83.727	-42.3595
3110.000000	83.575	-40.6428
3150.000000	83.457	-38.7421
3200.000000	83.367	-36.1514
3250.000000	83.354	-33.4022
3300.000000	83.422	-30.6063
3350.000000	83.575	-27.8787
3400.000000	83.809	-25.3250
3450.000000	84.119	-23.0492
3500.000000	84.498	-21.1655
3550.000000	84.932	-19.7930
3600.000000	85.398	-19.0400
3650.000000	85.872	-18.9872
3700.000000	86.322	-19.6630
3750.000000	86.721	-21.0291
3820.000000	87.149	-23.9006
3870.000000	87.340	-26.4211
3950.000000	87.430	-30.7261
4000.000000	87.356	-33.2758
4060.000000	87.158	-35.9077
4120.000000	86.873	-37.8972
4180.000000	86.543	-39.1977
4250.000000	86.147	-39.9698
4310.000000	85.826	-40.1797
4370.000000	85.526	-40.1359
4440.000000	85.198	-39.9081
4500.000000	84.926	-39.6312
4550.000000	84.697	-39.3610
4620.000000	84.363	-38.9099
4680.000000	84.051	-38.4058
4750.000000	83.647	-37.5610
4820.000000	83.197	-36.2545
4870.000000	82.851	-34.9192
4940.000000	82.355	-32.3510
5000.000000	81.947	-29.4528
5080.000000	81.485	-24.6795
5150.000000	81.205	-19.8897
5220.000000	81.064	-14.8304
5300.000000	81.065	-9.0534
5380.000000	81.211	-3.5243
5450.000000	81.428	1.0222
5520.000000	81.710	5.2800
5600.000000	82.100	9.7967
