
Frequency	dB	Unweighted
487.000000	85.534	147.0803
494.000000	85.482	146.9875
500.000000	85.438	146.9129
508.000000	85.381	146.8208
515.000000	85.332	146.7469
522.000000	85.285	146.6789
530.000000	85.232	146.6083
538.000000	85.181	146.5449
545.000000	85.138	146.4952
552.000000	85.095	146.4505
560.000000	85.049	146.4049
570.000000	84.992	146.3560
580.000000	84.938	146.3158
590.000000	84.886	146.2834
600.000000	84.836	146.2584
608.000000	84.798	146.2440
615.000000	84.766	146.2354
622.000000	84.735	146.2303
630.000000	84.702	146.2288
640.000000	84.662	146.2326
650.000000	84.625	146.2412
660.000000	84.591	146.2526
670.000000	84.559	146.2657
680.000000	84.529	146.2808
690.000000	84.501	146.2983
700.000000	84.476	146.3187
710.000000	84.453	146.3417
720.000000	84.432	146.3672
730.000000	84.413	146.3945
740.000000	84.396	146.4234
750.000000	84.382	146.4536
762.000000	84.368	146.4910
775.000000	84.356	146.5317
788.000000	84.349	146.5715
800.000000	84.345	146.6058
812.000000	84.345	146.6364
825.000000	84.348	146.6637
838.000000	84.355	146.6831
850.000000	84.364	146.6924
862.000000	84.377	146.6920
875.000000	84.394	146.6796
885.000000	84.409	146.6607
900.000000	84.436	146.6156
912.000000	84.459	146.5636
925.000000	84.487	146.4899
938.000000	84.518	146.3969
950.000000	84.548	146.2932
962.000000	84.579	146.1716
975.000000	84.615	146.0193
988.000000	84.652	145.8445
1000.000000	84.686	145.6630
1015.000000	84.729	145.4084
1030.000000	84.773	145.1231
1044.000000	84.812	144.8295
1060.000000	84.856	144.4631
1075.000000	84.896	144.0916
1090.000000	84.933	143.6953
1106.000000	84.970	143.2478
1120.000000	85.000	142.8378
1138.000000	85.034	142.2885
1150.000000	85.053	141.9105
1172.000000	85.084	141.1976
1180.000000	85.094	140.9332
1206.000000	85.117	140.0593
1220.000000	85.125	139.5822
1241.000000	85.130	138.8635
1250.000000	85.130	138.5562
1265.000000	85.126	138.0479
1280.000000	85.119	137.5469
1315.000000	85.086	136.4230
1320.000000	85.080	136.2692
1340.000000	85.051	135.6754
1360.000000	85.018	135.1217
1380.000000	84.982	134.6118
1400.000000	84.944	134.1422
1430.000000	84.887	133.4894
1450.000000	84.846	133.0778
1475.000000	84.791	132.5944
1500.000000	84.731	132.1591
1525.000000	84.666	131.7840
1550.000000	84.598	131.4761
1575.000000	84.529	131.2366
1600.000000	84.459	131.0638
1625.000000	84.389	130.9547
1650.000000	84.321	130.9072
1675.000000	84.254	130.9202
1700.000000	84.188	130.9926
1725.000000	84.125	131.1241
1750.000000	84.063	131.3166
1775.000000	84.006	131.5735
1800.000000	83.953	131.8993
1825.000000	83.907	132.2961
1850.000000	83.871	132.7572
1875.000000	83.848	133.2609
1900.000000	83.839	133.7723
1925.000000	83.841	134.2585
1950.000000	83.849	134.7077
1975.000000	83.856	135.1341
2000.000000	83.862	135.5632
2030.000000	83.869	136.1112
2060.000000	83.879	136.7105
2090.000000	83.894	137.3626
2120.000000	83.917	138.0619
2140.000000	83.937	138.5511
2180.000000	83.988	139.5771
2200.000000	84.019	140.1120
2240.000000	84.095	141.2241
2270.000000	84.162	142.0993
2300.000000	84.241	143.0170
2330.000000	84.333	143.9859
2360.000000	84.442	145.0107
2400.000000	84.627	146.4460
2430.000000	84.803	147.5236
2470.000000	85.092	148.8241
2500.000000	85.341	149.5906
2540.000000	85.691	150.2463
2580.000000	86.036	150.5228
2620.000000	86.364	150.5490
2650.000000	86.602	150.4718
2690.000000	86.916	150.2754
2720.000000	87.154	150.0533
2760.000000	87.476	149.6266
2800.000000	87.803	149.0059
2850.000000	88.211	147.8956
2900.000000	88.603	146.3752
2950.000000	88.964	144.4343
3000.000000	89.278	142.0918
3040.000000	89.484	139.9692
3070.000000	89.608	138.2670
3110.000000	89.729	135.9054
3150.000000	89.798	133.5066
3200.000000	89.814	130.5673
3250.000000	89.760	127.8116
3300.000000	89.649	125.3358
3350.000000	89.497	123.1968
3400.000000	89.319	121.4149
3450.000000	89.130	119.9792
3500.000000	88.941	118.8537
3550.000000	88.766	117.9820
3600.000000	88.611	117.2850
3650.000000	88.481	116.6584
3700.000000	88.374	115.9924
3750.000000	88.280	115.1917
3820.000000	88.145	113.7120
3870.000000	88.022	112.3559
3950.000000	87.721	109.7631
4000.000000	87.442	108.0587
4060.000000	86.998	106.2364
4120.000000	86.440	105.0050
4180.000000	85.796	104.6715
4250.000000	84.997	105.6099
4310.000000	84.332	107.5062
4370.000000	83.736	110.2190
4440.000000	83.173	114.0647
4500.000000	82.821	117.6212
4550.000000	82.614	120.5766
4620.000000	82.430	124.4932
4680.000000	82.340	127.5413
4750.000000	82.276	130.7123
4820.000000	82.224	133.5334
4870.000000	82.183	135.3984
4940.000000	82.113	137.9003
5000.000000	82.040	140.0271
5080.000000	81.932	142.9523
5150.000000	81.838	145.6649
5220.000000	81.758	148.5450
5300.000000	81.700	152.0204
5380.000000	81.692	155.6288
5450.000000	81.731	158.8282
5520.000000	81.814	162.0081
5600.000000	81.961	165.5602
5700.000000	82.217	169.8003
5800.000000	82.547	173.7292
5900.000000	82.940	177.2626
6000.000000	83.382	-179.6628
6080.000000	83.761	-177.5668
6150.000000	84.105	-176.0165
6220.000000	84.454	-174.7415
6300.000000	84.851	-173.6251
6400.000000	85.332	-172.7252
6500.000000	85.781	-172.3300
6600.000000	86.187	-172.3670
6700.000000	86.545	-172.7506
6800.000000	86.852	-173.3939
6900.000000	87.111	-174.2199
7000.000000	87.326	-175.1703
7100.000000	87.502	-176.2097
7200.000000	87.642	-177.3251
7300.000000	87.748	-178.5211
7400.000000	87.818	-179.8039
7500.000000	87.846	178.8356
7620.000000	87.817	177.1507
7750.000000	87.702	175.3807
7880.000000	87.499	173.8408
8000.000000	87.249	172.7533
8120.000000	86.951	172.0404
8250.000000	86.587	171.7331
8380.000000	86.192	171.9748
8500.000000	85.820	172.7016
8620.000000	85.459	173.8740
8750.000000	85.093	175.5947
8850.000000	84.840	177.2240
9000.000000	84.531	-179.8638
9120.000000	84.383	-177.2900
9250.000000	84.344	-174.6219
9380.000000	84.410	-172.4713
9500.000000	84.524	-171.1789
9620.000000	84.646	-170.6541
9750.000000	84.739	-170.9739
9880.000000	84.747	-172.1455
10000.000000	84.640	-173.8131
10150.000000	84.315	-176.2828
10300.000000	83.755	-178.5817
10440.000000	83.032	179.9754
10600.000000	82.009	179.6229
10750.000000	80.917	-179.2639
10900.000000	79.753	-176.7762
11060.000000	78.480	-172.7236
11200.000000	77.367	-168.0388
11380.000000	75.969	-160.4080
11500.000000	75.099	-154.3743
11720.000000	73.774	-142.1657
11800.000000	73.397	-137.6313
12060.000000	72.501	-123.1988
12200.000000	72.180	-115.6679
12410.000000	71.878	-104.7573
12500.000000	71.810	-100.2726
12650.000000	71.771	-93.1396
12800.000000	71.808	-86.5192
