* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 5, 2023 3:57:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 5
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
355.000000	79.001	-32.4060
360.000000	78.890	-31.9874
365.000000	78.781	-31.5224
370.000000	78.673	-30.9999
375.000000	78.568	-30.4066
382.000000	78.435	-29.4326
387.000000	78.359	-28.6362
395.000000	78.292	-27.2983
400.000000	78.289	-26.5570
406.000000	78.313	-25.9216
412.000000	78.339	-25.6227
418.000000	78.339	-25.5814
425.000000	78.293	-25.6472
431.000000	78.220	-25.6536
437.000000	78.131	-25.5539
444.000000	78.017	-25.3021
450.000000	77.918	-24.9923
455.000000	77.838	-24.6847
462.000000	77.730	-24.1988
468.000000	77.642	-23.7445
475.000000	77.544	-23.1814
482.000000	77.451	-22.5920
487.000000	77.388	-22.1587
494.000000	77.303	-21.5382
500.000000	77.233	-20.9945
508.000000	77.145	-20.2550
515.000000	77.072	-19.5972
522.000000	77.002	-18.9310
530.000000	76.926	-18.1608
538.000000	76.855	-17.3820
545.000000	76.797	-16.6942
552.000000	76.741	-16.0011
560.000000	76.682	-15.2032
570.000000	76.613	-14.1978
580.000000	76.549	-13.1849
590.000000	76.492	-12.1665
600.000000	76.441	-11.1439
608.000000	76.404	-10.3237
615.000000	76.375	-9.6048
622.000000	76.349	-8.8850
630.000000	76.323	-8.0614
640.000000	76.295	-7.0306
650.000000	76.272	-6.0007
660.000000	76.255	-4.9746
670.000000	76.244	-3.9541
680.000000	76.239	-2.9386
690.000000	76.241	-1.9321
700.000000	76.249	-0.9456
710.000000	76.262	0.0131
720.000000	76.277	0.9530
730.000000	76.295	1.8922
740.000000	76.317	2.8346
750.000000	76.344	3.7716
762.000000	76.385	4.8772
775.000000	76.436	6.0448
788.000000	76.496	7.1779
800.000000	76.557	8.1919
812.000000	76.624	9.1730
825.000000	76.704	10.1953
838.000000	76.789	11.1731
850.000000	76.874	12.0355
862.000000	76.962	12.8593
875.000000	77.062	13.7083
885.000000	77.142	14.3297
900.000000	77.266	15.2073
912.000000	77.368	15.8597
925.000000	77.482	16.5149
938.000000	77.597	17.1148
950.000000	77.705	17.6193
962.000000	77.815	18.0768
975.000000	77.933	18.5200
988.000000	78.052	18.9089
1000.000000	78.160	19.2205
1015.000000	78.294	19.5468
1030.000000	78.426	19.8041
1044.000000	78.545	19.9845
1060.000000	78.676	20.1243
1075.000000	78.793	20.1966
1090.000000	78.905	20.2177
1106.000000	79.016	20.1902
1120.000000	79.107	20.1293
1138.000000	79.215	20.0071
1150.000000	79.282	19.9024
1172.000000	79.390	19.6715
1180.000000	79.425	19.5783
1206.000000	79.524	19.2611
1220.000000	79.568	19.0903
1241.000000	79.624	18.8461
1250.000000	79.644	18.7478
1265.000000	79.674	18.5938
1280.000000	79.700	18.4518
1315.000000	79.743	18.1643
1320.000000	79.747	18.1284
1340.000000	79.758	18.0020
1360.000000	79.761	17.9157
1380.000000	79.758	17.8903
1400.000000	79.753	17.9358
1430.000000	79.753	18.0876
1450.000000	79.758	18.1814
1475.000000	79.760	18.2538
1500.000000	79.746	18.3174
1525.000000	79.716	18.4463
1550.000000	79.675	18.6908
1575.000000	79.630	19.0617
1600.000000	79.584	19.5526
1625.000000	79.542	20.1592
1650.000000	79.505	20.8874
1675.000000	79.477	21.7480
1700.000000	79.466	22.7347
1725.000000	79.482	23.7988
1750.000000	79.526	24.8585
1775.000000	79.591	25.8475
1800.000000	79.668	26.7456
1825.000000	79.749	27.5694
1850.000000	79.832	28.3466
1875.000000	79.917	29.0996
1900.000000	80.004	29.8405
1925.000000	80.096	30.5727
1950.000000	80.193	31.2957
1975.000000	80.295	32.0063
2000.000000	80.404	32.6993
2030.000000	80.542	33.4990
2060.000000	80.688	34.2550
2090.000000	80.841	34.9613
2120.000000	80.999	35.6162
2140.000000	81.106	36.0244
2180.000000	81.325	36.7743
2200.000000	81.436	37.1180
2240.000000	81.658	37.7570
2270.000000	81.825	38.2135
2300.000000	81.994	38.6759
2330.000000	82.170	39.1660
2360.000000	82.362	39.6876
2400.000000	82.658	40.3621
2430.000000	82.915	40.7348
2470.000000	83.288	40.8582
2500.000000	83.567	40.6057
2540.000000	83.910	39.8651
2580.000000	84.205	38.8280
2620.000000	84.456	37.6560
2650.000000	84.620	36.7450
2690.000000	84.817	35.5145
2720.000000	84.952	34.5781
2760.000000	85.117	33.2956
2800.000000	85.264	31.9585
2850.000000	85.420	30.2107
2900.000000	85.542	28.4018
2950.000000	85.630	26.5544
3000.000000	85.678	24.6990
3040.000000	85.687	23.2515
3070.000000	85.676	22.2151
3110.000000	85.641	20.9294
3150.000000	85.587	19.7777
3200.000000	85.500	18.5485
3250.000000	85.398	17.5630
3300.000000	85.289	16.8226
3350.000000	85.181	16.3222
3400.000000	85.084	16.0424
3450.000000	85.006	15.9360
3500.000000	84.950	15.9359
3550.000000	84.915	15.9836
3600.000000	84.898	16.0456
3650.000000	84.896	16.1017
3700.000000	84.906	16.1367
3750.000000	84.926	16.1401
3820.000000	84.966	16.0751
3870.000000	84.999	15.9690
3950.000000	85.049	15.7143
4000.000000	85.073	15.5602
4060.000000	85.104	15.4708
4120.000000	85.157	15.5068
4180.000000	85.255	15.5571
4250.000000	85.427	15.3723
4310.000000	85.605	14.8181
4370.000000	85.781	13.8264
4440.000000	85.951	12.1547
4500.000000	86.046	10.3876
4550.000000	86.082	8.7784
4620.000000	86.064	6.4765
4680.000000	85.991	4.5843
4750.000000	85.852	2.5898
4820.000000	85.673	0.9042
4870.000000	85.533	-0.0930
4940.000000	85.337	-1.2276
5000.000000	85.182	-2.0279
5080.000000	85.005	-3.0127
5150.000000	84.875	-3.9498
5220.000000	84.752	-5.0585
5300.000000	84.597	-6.5650
5380.000000	84.401	-8.2607
5450.000000	84.184	-9.7916
5520.000000	83.918	-11.2523
5600.000000	83.560	-12.7031
5700.000000	83.042	-14.0106
5800.000000	82.475	-14.6135
5900.000000	81.890	-14.4379
6000.000000	81.323	-13.4668
6080.000000	80.910	-12.1450
6150.000000	80.598	-10.6504
6220.000000	80.349	-8.9349
6300.000000	80.154	-6.8698
6400.000000	80.044	-4.4377
6500.000000	80.050	-2.4623
6600.000000	80.122	-1.0751
6700.000000	80.221	-0.2391
6800.000000	80.322	0.1644
6900.000000	80.420	0.2507
7000.000000	80.519	0.0828
7100.000000	80.622	-0.3407
7200.000000	80.729	-1.0599
7300.000000	80.832	-2.1165
7400.000000	80.918	-3.5231
7500.000000	80.974	-5.2537
7620.000000	80.990	-7.6787
7750.000000	80.931	-10.6037
7880.000000	80.786	-13.6729
8000.000000	80.578	-16.4764
8120.000000	80.308	-19.1288
8250.000000	79.967	-21.7726
8380.000000	79.596	-24.2089
8500.000000	79.237	-26.3538
8620.000000	78.864	-28.4867
8750.000000	78.437	-30.8715
8850.000000	78.081	-32.7906
9000.000000	77.477	-35.7517
9120.000000	76.913	-38.0383
9250.000000	76.212	-40.2170
9380.000000	75.422	-41.8892
9500.000000	74.626	-42.8475
9620.000000	73.779	-43.1605
9750.000000	72.827	-42.7296
9880.000000	71.860	-41.5040
10000.000000	70.975	-39.7076
10150.000000	69.902	-36.6557
10300.000000	68.890	-32.8373
10440.000000	68.015	-28.7090
10600.000000	67.110	-23.4670
10750.000000	66.357	-18.1630
10900.000000	65.700	-12.5674
11060.000000	65.108	-6.3322
11200.000000	64.692	-0.6915
11380.000000	64.332	6.6274
11500.000000	64.213	11.3182
11720.000000	64.200	18.9742
11800.000000	64.241	21.4152
12060.000000	64.499	28.1118
12200.000000	64.703	30.8356
12410.000000	65.049	33.4886
12500.000000	65.190	34.0454
12650.000000	65.384	34.1960
12800.000000	65.493	33.4762
13150.000000	65.267	29.8860
13200.000000	65.175	29.3405
13400.000000	64.679	27.5463
13600.000000	64.030	26.6980
13800.000000	63.310	26.9136
14000.000000	62.599	28.0209
14300.000000	61.677	30.6677
14500.000000	61.201	32.5902
14750.000000	60.771	34.6012
15000.000000	60.496	35.7111
15250.000000	60.339	35.4857
15500.000000	60.232	33.2370
15750.000000	60.017	28.5407
16000.000000	59.524	21.7812
16250.000000	58.602	14.2773
16500.000000	57.166	8.2281
16750.000000	55.273	5.3719
17000.000000	53.100	5.8655
17250.000000	50.823	8.9449
17500.000000	48.550	13.9691
17750.000000	46.322	20.6561
18000.000000	44.157	28.8959
18250.000000	42.070	38.5694
18500.000000	40.088	49.4628
18750.000000	38.248	61.2882
19000.000000	36.584	73.6884
19250.000000	35.125	86.0851
19500.000000	33.893	97.5452
19750.000000	32.940	106.7483
