* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 3, 2023 4:38:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
365.000000	81.360	-27.3497
370.000000	81.284	-27.1587
375.000000	81.209	-26.9617
382.000000	81.107	-26.6764
387.000000	81.035	-26.4659
395.000000	80.922	-26.1182
400.000000	80.852	-25.8942
406.000000	80.771	-25.6193
412.000000	80.690	-25.3380
418.000000	80.612	-25.0503
425.000000	80.522	-24.7073
431.000000	80.446	-24.4071
437.000000	80.372	-24.1008
444.000000	80.287	-23.7354
450.000000	80.216	-23.4157
455.000000	80.157	-23.1453
462.000000	80.078	-22.7612
468.000000	80.010	-22.4269
475.000000	79.934	-22.0311
482.000000	79.859	-21.6293
487.000000	79.807	-21.3384
494.000000	79.735	-20.9261
500.000000	79.674	-20.5681
508.000000	79.596	-20.0843
515.000000	79.529	-19.6548
522.000000	79.463	-19.2200
530.000000	79.391	-18.7170
538.000000	79.320	-18.2079
545.000000	79.260	-17.7572
552.000000	79.201	-17.3014
560.000000	79.136	-16.7744
570.000000	79.058	-16.1073
580.000000	78.983	-15.4314
590.000000	78.911	-14.7467
600.000000	78.842	-14.0535
608.000000	78.789	-13.4933
615.000000	78.744	-12.9991
622.000000	78.701	-12.5013
630.000000	78.653	-11.9279
640.000000	78.597	-11.2049
650.000000	78.544	-10.4752
660.000000	78.493	-9.7391
670.000000	78.446	-8.9966
680.000000	78.402	-8.2479
690.000000	78.362	-7.4937
700.000000	78.324	-6.7344
710.000000	78.290	-5.9707
720.000000	78.259	-5.2024
730.000000	78.231	-4.4297
740.000000	78.207	-3.6532
750.000000	78.186	-2.8734
762.000000	78.165	-1.9338
775.000000	78.148	-0.9127
788.000000	78.137	0.1097
800.000000	78.133	1.0535
812.000000	78.133	1.9962
825.000000	78.140	3.0148
838.000000	78.153	4.0282
850.000000	78.170	4.9575
862.000000	78.192	5.8794
875.000000	78.222	6.8673
885.000000	78.250	7.6180
900.000000	78.297	8.7269
912.000000	78.341	9.5973
925.000000	78.394	10.5214
938.000000	78.452	11.4236
950.000000	78.510	12.2349
962.000000	78.573	13.0239
975.000000	78.646	13.8522
988.000000	78.722	14.6514
1000.000000	78.797	15.3624
1015.000000	78.895	16.2134
1030.000000	78.996	17.0206
1044.000000	79.095	17.7336
1060.000000	79.211	18.5008
1075.000000	79.322	19.1738
1090.000000	79.436	19.8018
1106.000000	79.559	20.4221
1120.000000	79.668	20.9235
1138.000000	79.807	21.5123
1150.000000	79.900	21.8712
1172.000000	80.069	22.4667
1180.000000	80.129	22.6661
1206.000000	80.323	23.2682
1220.000000	80.426	23.5704
1241.000000	80.582	23.9949
1250.000000	80.650	24.1630
1265.000000	80.764	24.4200
1280.000000	80.878	24.6441
1315.000000	81.144	25.0356
1320.000000	81.181	25.0770
1340.000000	81.330	25.2084
1360.000000	81.476	25.2865
1380.000000	81.620	25.3129
1400.000000	81.760	25.2874
1430.000000	81.962	25.1508
1450.000000	82.090	24.9938
1475.000000	82.242	24.7255
1500.000000	82.381	24.3828
1525.000000	82.505	23.9762
1550.000000	82.612	23.5210
1575.000000	82.698	23.0413
1600.000000	82.761	22.5733
1625.000000	82.803	22.1614
1650.000000	82.825	21.8513
1675.000000	82.833	21.6840
1700.000000	82.833	21.6900
1725.000000	82.834	21.8844
1750.000000	82.846	22.2618
1775.000000	82.878	22.7954
1800.000000	82.937	23.4402
1825.000000	83.027	24.1395
1850.000000	83.150	24.8331
1875.000000	83.304	25.4646
1900.000000	83.484	25.9863
1925.000000	83.686	26.3615
1950.000000	83.903	26.5647
1975.000000	84.130	26.5815
2000.000000	84.360	26.4063
2030.000000	84.634	25.9446
2060.000000	84.897	25.2205
2090.000000	85.144	24.2545
2120.000000	85.368	23.0735
2140.000000	85.503	22.1824
2180.000000	85.732	20.1974
2200.000000	85.825	19.1257
2240.000000	85.966	16.8812
2270.000000	86.032	15.1543
2300.000000	86.066	13.4307
2330.000000	86.067	11.7434
2360.000000	86.041	10.1207
2400.000000	85.965	8.0970
2430.000000	85.883	6.7061
2470.000000	85.745	5.0418
2500.000000	85.625	3.9438
2540.000000	85.448	2.6835
2580.000000	85.259	1.6521
2620.000000	85.061	0.8401
2650.000000	84.911	0.3669
2690.000000	84.710	-0.0950
2720.000000	84.561	-0.3235
2760.000000	84.367	-0.4839
2800.000000	84.179	-0.4937
2850.000000	83.956	-0.3167
2900.000000	83.747	0.0458
2950.000000	83.555	0.5696
3000.000000	83.381	1.2332
3040.000000	83.254	1.8516
