* Measurement data measured by REW V5.20.13
* Source: ASIO MOTU Audio, Mic/Line 1
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: Jun 4, 2023 8:48:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
355.000000	78.141	-32.4283
360.000000	78.042	-32.2381
365.000000	77.943	-32.0154
370.000000	77.845	-31.7631
375.000000	77.747	-31.4863
382.000000	77.613	-31.0656
387.000000	77.519	-30.7442
395.000000	77.372	-30.1965
400.000000	77.283	-29.8347
406.000000	77.180	-29.3822
412.000000	77.079	-28.9113
418.000000	76.981	-28.4231
425.000000	76.870	-27.8314
431.000000	76.779	-27.3047
437.000000	76.692	-26.7614
444.000000	76.595	-26.1104
450.000000	76.517	-25.5425
455.000000	76.456	-25.0668
462.000000	76.377	-24.4047
468.000000	76.313	-23.8481
475.000000	76.243	-23.2162
482.000000	76.175	-22.6033
487.000000	76.126	-22.1741
494.000000	76.059	-21.5787
500.000000	76.000	-21.0673
508.000000	75.923	-20.3761
515.000000	75.856	-19.7589
522.000000	75.790	-19.1291
530.000000	75.718	-18.3953
538.000000	75.648	-17.6476
545.000000	75.590	-16.9832
552.000000	75.535	-16.3098
560.000000	75.476	-15.5305
570.000000	75.408	-14.5446
580.000000	75.345	-13.5490
590.000000	75.289	-12.5461
600.000000	75.238	-11.5373
608.000000	75.202	-10.7262
615.000000	75.174	-10.0146
622.000000	75.148	-9.3033
630.000000	75.121	-8.4919
640.000000	75.093	-7.4797
650.000000	75.071	-6.4683
660.000000	75.053	-5.4584
670.000000	75.041	-4.4543
680.000000	75.033	-3.4592
690.000000	75.032	-2.4729
700.000000	75.036	-1.4946
710.000000	75.045	-0.5264
720.000000	75.060	0.4288
730.000000	75.079	1.3700
740.000000	75.103	2.2988
750.000000	75.132	3.2159
762.000000	75.172	4.2981
775.000000	75.221	5.4426
788.000000	75.278	6.5554
800.000000	75.336	7.5522
812.000000	75.400	8.5165
825.000000	75.476	9.5226
838.000000	75.558	10.4876
850.000000	75.638	11.3407
862.000000	75.723	12.1551
875.000000	75.820	12.9911
885.000000	75.897	13.6019
900.000000	76.018	14.4667
912.000000	76.117	15.1124
925.000000	76.227	15.7621
938.000000	76.339	16.3574
950.000000	76.444	16.8571
962.000000	76.550	17.3098
975.000000	76.665	17.7504
988.000000	76.780	18.1400
1000.000000	76.885	18.4537
1015.000000	77.015	18.7833
1030.000000	77.141	19.0457
1044.000000	77.256	19.2343
1060.000000	77.381	19.3887
1075.000000	77.494	19.4783
1090.000000	77.601	19.5176
1106.000000	77.708	19.5089
1120.000000	77.796	19.4643
1138.000000	77.901	19.3687
1150.000000	77.965	19.2864
1172.000000	78.069	19.1041
1180.000000	78.103	19.0300
1206.000000	78.200	18.7766
1220.000000	78.244	18.6416
1241.000000	78.301	18.4519
1250.000000	78.322	18.3760
1265.000000	78.356	18.2549
1280.000000	78.385	18.1362
1315.000000	78.440	17.8499
1320.000000	78.445	17.8083
1340.000000	78.461	17.6509
1360.000000	78.465	17.5258
1380.000000	78.461	17.4502
1400.000000	78.452	17.4244
1430.000000	78.432	17.4508
1450.000000	78.411	17.5059
1475.000000	78.375	17.6478
1500.000000	78.332	17.9102
1525.000000	78.292	18.2943
1550.000000	78.257	18.7637
1575.000000	78.228	19.2886
1600.000000	78.201	19.8635
1625.000000	78.175	20.4954
1650.000000	78.151	21.1953
1675.000000	78.129	21.9819
1700.000000	78.112	22.8829
1725.000000	78.107	23.9162
1750.000000	78.125	25.0609
1775.000000	78.172	26.2524
1800.000000	78.251	27.4078
1825.000000	78.353	28.4561
1850.000000	78.468	29.3654
1875.000000	78.584	30.1515
1900.000000	78.696	30.8578
1925.000000	78.805	31.5257
1950.000000	78.912	32.1795
1975.000000	79.021	32.8271
2000.000000	79.134	33.4668
2030.000000	79.275	34.2152
2060.000000	79.423	34.9324
2090.000000	79.578	35.6133
2120.000000	79.737	36.2555
2140.000000	79.845	36.6603
2180.000000	80.066	37.4137
2200.000000	80.179	37.7650
2240.000000	80.408	38.4315
2270.000000	80.584	38.9189
2300.000000	80.766	39.4154
2330.000000	80.959	39.9279
2360.000000	81.173	40.4393
2400.000000	81.498	41.0197
2430.000000	81.772	41.2591
2470.000000	82.151	41.1613
2500.000000	82.425	40.7553
2540.000000	82.753	39.8749
2580.000000	83.033	38.7768
2620.000000	83.273	37.5940
2650.000000	83.433	36.6862
2690.000000	83.626	35.4525
2720.000000	83.758	34.5002
2760.000000	83.918	33.1767
2800.000000	84.057	31.7844
2850.000000	84.195	29.9773
2900.000000	84.294	28.1629
2950.000000	84.358	26.3912
3000.000000	84.391	24.6771
3040.000000	84.394	23.3632
3070.000000	84.384	22.4283
3110.000000	84.355	21.2727
3150.000000	84.311	20.2396
3200.000000	84.243	19.1307
3250.000000	84.166	18.2144
3300.000000	84.085	17.4749
3350.000000	84.003	16.9062
3400.000000	83.924	16.5052
3450.000000	83.853	16.2547
3500.000000	83.796	16.1226
3550.000000	83.754	16.0723
3600.000000	83.728	16.0675
3650.000000	83.719	16.0702
3700.000000	83.722	16.0482
3750.000000	83.733	15.9831
3820.000000	83.753	15.8118
3870.000000	83.765	15.6462
3950.000000	83.768	15.3964
4000.000000	83.764	15.3323
4060.000000	83.765	15.4283
4120.000000	83.798	15.7104
4180.000000	83.887	16.0505
4250.000000	84.071	16.2147
4310.000000	84.273	15.9066
4370.000000	84.478	15.0771
4440.000000	84.677	13.5133
4500.000000	84.788	11.8260
4550.000000	84.833	10.3120
4620.000000	84.830	8.2151
4680.000000	84.782	6.5519
4750.000000	84.691	4.8136
4820.000000	84.580	3.2673
4870.000000	84.493	2.2548
4940.000000	84.368	0.9335
5000.000000	84.260	-0.1402
5080.000000	84.118	-1.5531
5150.000000	83.994	-2.8423
5220.000000	83.862	-4.2341
