
Frequency	dB	Unweighted
468.000000	80.505	-31.2849
475.000000	80.448	-31.4888
482.000000	80.393	-31.6818
487.000000	80.354	-31.8132
494.000000	80.300	-31.9883
500.000000	80.255	-32.1306
508.000000	80.195	-32.3094
515.000000	80.144	-32.4559
522.000000	80.094	-32.5931
530.000000	80.038	-32.7390
538.000000	79.983	-32.8734
545.000000	79.936	-32.9814
552.000000	79.891	-33.0798
560.000000	79.839	-33.1806
570.000000	79.778	-33.2899
580.000000	79.718	-33.3805
590.000000	79.659	-33.4539
600.000000	79.603	-33.5115
608.000000	79.560	-33.5461
615.000000	79.523	-33.5680
622.000000	79.487	-33.5817
630.000000	79.447	-33.5873
640.000000	79.399	-33.5793
650.000000	79.354	-33.5549
660.000000	79.311	-33.5147
670.000000	79.270	-33.4592
680.000000	79.231	-33.3892
690.000000	79.195	-33.3047
700.000000	79.162	-33.2061
710.000000	79.131	-33.0940
720.000000	79.103	-32.9688
730.000000	79.077	-32.8307
740.000000	79.054	-32.6802
750.000000	79.034	-32.5182
762.000000	79.014	-32.3088
775.000000	78.997	-32.0646
788.000000	78.985	-31.8038
800.000000	78.978	-31.5493
812.000000	78.976	-31.2827
825.000000	78.979	-30.9827
838.000000	78.988	-30.6728
850.000000	79.000	-30.3792
862.000000	79.018	-30.0795
875.000000	79.041	-29.7502
885.000000	79.063	-29.4948
900.000000	79.102	-29.1102
912.000000	79.138	-28.8038
925.000000	79.182	-28.4752
938.000000	79.231	-28.1520
950.000000	79.281	-27.8595
962.000000	79.335	-27.5738
975.000000	79.398	-27.2727
988.000000	79.465	-26.9821
1000.000000	79.531	-26.7245
1015.000000	79.618	-26.4191
1030.000000	79.709	-26.1333
1044.000000	79.798	-25.8859
1060.000000	79.904	-25.6268
1075.000000	80.007	-25.4067
1090.000000	80.112	-25.2078
1106.000000	80.227	-25.0181
1120.000000	80.330	-24.8707
1138.000000	80.463	-24.7067
1150.000000	80.554	-24.6124
1172.000000	80.721	-24.4672
1180.000000	80.782	-24.4220
1206.000000	80.982	-24.2960
1220.000000	81.089	-24.2376
1241.000000	81.252	-24.1567
1250.000000	81.322	-24.1229
1265.000000	81.439	-24.0647
1280.000000	81.557	-24.0000
1315.000000	81.842	-23.7961
1320.000000	81.885	-23.7600
1340.000000	82.066	-23.6088
1360.000000	82.264	-23.4860
1380.000000	82.476	-23.4542
1400.000000	82.692	-23.5510
1430.000000	83.006	-23.9011
1450.000000	83.205	-24.2085
1475.000000	83.447	-24.6221
1500.000000	83.687	-25.0591
1525.000000	83.927	-25.5311
1550.000000	84.167	-26.0472
1575.000000	84.407	-26.6132
1600.000000	84.647	-27.2328
1625.000000	84.885	-27.9082
1650.000000	85.123	-28.6437
1675.000000	85.362	-29.4543
1700.000000	85.601	-30.3754
1725.000000	85.836	-31.4582
1750.000000	86.055	-32.7411
1775.000000	86.239	-34.2065
1800.000000	86.373	-35.7369
1825.000000	86.459	-37.1309
1850.000000	86.530	-38.2756
1875.000000	86.613	-39.2831
1900.000000	86.710	-40.3445
1925.000000	86.805	-41.5447
1950.000000	86.883	-42.8573
1975.000000	86.937	-44.2177
2000.000000	86.966	-45.5685
2030.000000	86.967	-47.1227
2060.000000	86.936	-48.5641
2090.000000	86.875	-49.8641
2120.000000	86.790	-51.0029
2140.000000	86.720	-51.6641
2180.000000	86.557	-52.7291
2200.000000	86.466	-53.1223
2240.000000	86.278	-53.6110
2270.000000	86.144	-53.7295
2300.000000	86.032	-53.6949
2330.000000	85.945	-53.6039
2360.000000	85.881	-53.5563
2400.000000	85.808	-53.6454
2430.000000	85.745	-53.7955
2470.000000	85.637	-53.9796
2500.000000	85.541	-54.0286
2540.000000	85.402	-53.9188
2580.000000	85.260	-53.5862
2620.000000	85.124	-53.0080
2650.000000	85.036	-52.4125
2690.000000	84.950	-51.4842
2720.000000	84.910	-50.7831
2760.000000	84.877	-49.9249
2800.000000	84.857	-49.1459
2850.000000	84.849	-48.2524
2900.000000	84.857	-47.4819
2950.000000	84.866	-46.8387
3000.000000	84.864	-46.2349
3040.000000	84.855	-45.7113
3070.000000	84.847	-45.2761
3110.000000	84.839	-44.6342
3150.000000	84.834	-43.9250
3200.000000	84.837	-42.9544
3250.000000	84.850	-41.9075
3300.000000	84.874	-40.8038
3350.000000	84.909	-39.6544
3400.000000	84.954	-38.4581
3450.000000	85.011	-37.2130
3500.000000	85.081	-35.9255
3550.000000	85.166	-34.6085
3600.000000	85.270	-33.2828
3650.000000	85.395	-31.9914
3700.000000	85.539	-30.7988
3750.000000	85.693	-29.7650
3820.000000	85.900	-28.6172
3870.000000	86.024	-27.9465
3950.000000	86.165	-26.8649
4000.000000	86.227	-26.0153
4060.000000	86.299	-24.6776
4120.000000	86.408	-22.9758
4180.000000	86.591	-21.0667
4250.000000	86.914	-18.9617
4310.000000	87.257	-17.5818
4370.000000	87.615	-16.7551
4440.000000	87.991	-16.4549
4500.000000	88.244	-16.5759
4550.000000	88.400	-16.7709
4620.000000	88.548	-16.9679
4680.000000	88.635	-16.9671
4750.000000	88.719	-16.7744
4820.000000	88.807	-16.4659
4870.000000	88.878	-16.2355
4940.000000	88.989	-15.9691
5000.000000	89.091	-15.8357
5080.000000	89.229	-15.8339
5150.000000	89.342	-16.0044
5220.000000	89.439	-16.3174
5300.000000	89.525	-16.8093
